Name,Platform,Release_year,Genre,Publisher,Rating
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,86
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,85
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,82
True Crime: Streets of LA,PS2,2003,Action,Activision,77
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,86
Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,
FIFA 16,XOne,2015,Sports,Electronic Arts,84
Wii Music,Wii,2008,Misc,Nintendo,63
Tekken,PS,1995,Fighting,Sony Computer Entertainment,
Madden NFL 16,PS4,2015,Sports,Electronic Arts,83
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,81
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,85
007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,
Super Mario Maker,WiiU,2015,Platform,Nintendo,88
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,
